bleu,meteor,rouge,sacre_bleu,factual_consistency,semantic_similarity
[np.float64(0.24010118035098563)],[np.float64(0.14688051602721186)],[np.float64(0.21396634471727605)],[np.float64(0.24967940926012683)],[np.float64(0.17094191942571846)],[np.float64(0.14669330976419204)]
[np.float64(0.12591976816633416)],[np.float64(0.19434103563930005)],[np.float64(0.20384163713891457)],[np.float64(0.11748293783657965)],[np.float64(0.2627415103725701)],[np.float64(0.17481832489774135)]
[np.float64(0.128404271165043)],[np.float64(0.13875620682956535)],[np.float64(0.17268946065474586)],[np.float64(0.13903995485283255)],[np.float64(0.21814370074071054)],[np.float64(0.14742029465312811)]
[np.float64(0.29975855626799974)],[np.float64(0.2964632433162351)],[np.float64(0.33892174536515346)],[np.float64(0.2897840294956669)],[np.float64(0.2415925620679017)],[np.float64(0.2818294209567608)]
